service_id,date,exception_type
205-Weekday-1-2024_5-1111100,20250103,1
205-Weekday-2-2024_5-1111100,20241231,1
206-Holiday1-3-2024_5-0000001,20250101,1
206-Holiday2-1-2024_5-0000001,20241225,1
206-Holiday3-1-2024_5-0000001,20241226,1
206-Saturday-1-2024_4-0000010,20241207,1
206-Saturday-1-2024_4-0000010,20241214,1
206-Saturday-1-2024_4-0000010,20241221,1
206-Saturday-1-2024_5-0000010,20241228,1
206-Saturday-1-2024_5-0000010,20250104,1
206-Sunday-1-2024_4-0000001,20241208,1
206-Sunday-1-2024_4-0000001,20241215,1
206-Sunday-1-2024_4-0000001,20241222,1
206-Sunday-1-2024_5-0000001,20241229,1
206-Sunday-1-2024_5-0000001,20250105,1
206-Weekday-4-2024_4-1111100,20241202,1
206-Weekday-4-2024_4-1111100,20241203,1
206-Weekday-4-2024_4-1111100,20241204,1
206-Weekday-4-2024_4-1111100,20241205,1
206-Weekday-4-2024_4-1111100,20241206,1
206-Weekday-4-2024_4-1111100,20241209,1
206-Weekday-4-2024_4-1111100,20241210,1
206-Weekday-4-2024_4-1111100,20241211,1
206-Weekday-4-2024_4-1111100,20241212,1
206-Weekday-4-2024_4-1111100,20241213,1
206-Weekday-4-2024_4-1111100,20241216,1
206-Weekday-4-2024_4-1111100,20241217,1
206-Weekday-4-2024_4-1111100,20241218,1
206-Weekday-4-2024_4-1111100,20241219,1
206-Weekday-4-2024_4-1111100,20241220,1
206-Weekday-4-2024_5-1111100,20241223,1
206-Weekday-4-2024_5-1111100,20241224,1
206-Weekday-4-2024_5-1111100,20241227,1
206-Weekday-4-2024_5-1111100,20241230,1
206-Weekday-4-2024_5-1111100,20250102,1
206-Weekday-4-2024_5-1111100,20250103,1
206-Weekday-5-2024_5-1111100,20241231,1
20-Holiday1-1-2024_5-0000001,20250101,1
20-Holiday3-1-2024_5-0000001,20241226,1
20-Saturday-1-2024_4-0000010,20241207,1
20-Saturday-1-2024_4-0000010,20241214,1
20-Saturday-1-2024_4-0000010,20241221,1
20-Saturday-1-2024_5-0000010,20241228,1
20-Saturday-1-2024_5-0000010,20250104,1
20-Sunday-1-2024_4-0000001,20241208,1
20-Sunday-1-2024_4-0000001,20241215,1
20-Sunday-1-2024_4-0000001,20241222,1
20-Sunday-1-2024_5-0000001,20241229,1
20-Sunday-1-2024_5-0000001,20250105,1
20-Weekday-1-2024_4-1111100,20241202,1
20-Weekday-1-2024_4-1111100,20241203,1
20-Weekday-1-2024_4-1111100,20241204,1
20-Weekday-1-2024_4-1111100,20241205,1
20-Weekday-1-2024_4-1111100,20241206,1
20-Weekday-1-2024_4-1111100,20241209,1
20-Weekday-1-2024_4-1111100,20241210,1
20-Weekday-1-2024_4-1111100,20241211,1
20-Weekday-1-2024_4-1111100,20241212,1
20-Weekday-1-2024_4-1111100,20241213,1
20-Weekday-1-2024_4-1111100,20241216,1
20-Weekday-1-2024_4-1111100,20241217,1
20-Weekday-1-2024_4-1111100,20241218,1
20-Weekday-1-2024_4-1111100,20241219,1
20-Weekday-1-2024_4-1111100,20241220,1
20-Weekday-1-2024_5-1111100,20241223,1
20-Weekday-1-2024_5-1111100,20241224,1
20-Weekday-1-2024_5-1111100,20241227,1
20-Weekday-1-2024_5-1111100,20241230,1
20-Weekday-1-2024_5-1111100,20250102,1
20-Weekday-1-2024_5-1111100,20250103,1
20-Weekday-1-2024_5-1111100,20241231,1
21-Saturday-1-2024_4-0000010,20241207,1
21-Saturday-1-2024_4-0000010,20241214,1
21-Saturday-1-2024_4-0000010,20241221,1
21-Saturday-1-2024_5-0000010,20241228,1
21-Saturday-1-2024_5-0000010,20250104,1
21-Sunday-1-2024_4-0000001,20241208,1
21-Sunday-1-2024_4-0000001,20241215,1
21-Sunday-1-2024_4-0000001,20241222,1
21-Sunday-1-2024_5-0000001,20241229,1
21-Sunday-1-2024_5-0000001,20250105,1
21-Weekday-1-2024_4-1111100,20241202,1
21-Weekday-1-2024_4-1111100,20241203,1
21-Weekday-1-2024_4-1111100,20241204,1
21-Weekday-1-2024_4-1111100,20241205,1
21-Weekday-1-2024_4-1111100,20241206,1
21-Weekday-1-2024_4-1111100,20241209,1
21-Weekday-1-2024_4-1111100,20241210,1
21-Weekday-1-2024_4-1111100,20241211,1
21-Weekday-1-2024_4-1111100,20241212,1
21-Weekday-1-2024_4-1111100,20241213,1
21-Weekday-1-2024_4-1111100,20241216,1
21-Weekday-1-2024_4-1111100,20241217,1
21-Weekday-1-2024_4-1111100,20241218,1
21-Weekday-1-2024_4-1111100,20241219,1
21-Weekday-1-2024_4-1111100,20241220,1
21-Weekday-1-2024_5-1111100,20241223,1
21-Weekday-1-2024_5-1111100,20241224,1
21-Weekday-1-2024_5-1111100,20241227,1
21-Weekday-1-2024_5-1111100,20241230,1
21-Weekday-1-2024_5-1111100,20250102,1
21-Weekday-1-2024_5-1111100,20250103,1
21-Weekday-1-2024_5-1111100,20241231,1
22-Saturday-1-2024_4-0000010,20241207,1
22-Saturday-1-2024_4-0000010,20241214,1
22-Saturday-1-2024_4-0000010,20241221,1
22-Saturday-1-2024_5-0000010,20241228,1
22-Saturday-1-2024_5-0000010,20250104,1
22-Sunday-1-2024_4-0000001,20241208,1
22-Sunday-1-2024_4-0000001,20241215,1
22-Sunday-1-2024_4-0000001,20241222,1
22-Sunday-1-2024_5-0000001,20241229,1
22-Sunday-1-2024_5-0000001,20250105,1
22-Weekday-1-2024_4-1111100,20241202,1
22-Weekday-1-2024_4-1111100,20241203,1
22-Weekday-1-2024_4-1111100,20241204,1
22-Weekday-1-2024_4-1111100,20241205,1
22-Weekday-1-2024_4-1111100,20241206,1
22-Weekday-1-2024_4-1111100,20241209,1
22-Weekday-1-2024_4-1111100,20241210,1
22-Weekday-1-2024_4-1111100,20241211,1
22-Weekday-1-2024_4-1111100,20241212,1
22-Weekday-1-2024_4-1111100,20241213,1
22-Weekday-1-2024_4-1111100,20241216,1
22-Weekday-1-2024_4-1111100,20241217,1
22-Weekday-1-2024_4-1111100,20241218,1
22-Weekday-1-2024_4-1111100,20241219,1
22-Weekday-1-2024_4-1111100,20241220,1
22-Weekday-1-2024_5-1111100,20241223,1
22-Weekday-1-2024_5-1111100,20241224,1
22-Weekday-1-2024_5-1111100,20241227,1
22-Weekday-1-2024_5-1111100,20241230,1
22-Weekday-1-2024_5-1111100,20250102,1
22-Weekday-1-2024_5-1111100,20250103,1
22-Weekday-1-2024_5-1111100,20241231,1
23-Saturday-1-2024_4-0000010,20241207,1
23-Saturday-1-2024_4-0000010,20241214,1
23-Saturday-1-2024_4-0000010,20241221,1
23-Saturday-1-2024_5-0000010,20241228,1
23-Saturday-1-2024_5-0000010,20250104,1
23-Sunday-1-2024_4-0000001,20241208,1
23-Sunday-1-2024_4-0000001,20241215,1
23-Sunday-1-2024_4-0000001,20241222,1
23-Sunday-1-2024_5-0000001,20241229,1
23-Sunday-1-2024_5-0000001,20250105,1
23-Weekday-1-2024_4-1111100,20241202,1
23-Weekday-1-2024_4-1111100,20241203,1
23-Weekday-1-2024_4-1111100,20241204,1
23-Weekday-1-2024_4-1111100,20241205,1
23-Weekday-1-2024_4-1111100,20241206,1
23-Weekday-1-2024_4-1111100,20241209,1
23-Weekday-1-2024_4-1111100,20241210,1
23-Weekday-1-2024_4-1111100,20241211,1
23-Weekday-1-2024_4-1111100,20241212,1
23-Weekday-1-2024_4-1111100,20241213,1
23-Weekday-1-2024_4-1111100,20241216,1
23-Weekday-1-2024_4-1111100,20241217,1
23-Weekday-1-2024_4-1111100,20241218,1
23-Weekday-1-2024_4-1111100,20241219,1
23-Weekday-1-2024_4-1111100,20241220,1
23-Weekday-1-2024_5-1111100,20241223,1
