OBJECTID,IntersectionName,InstallDate,DetectionMethod,OwnedBy,MaintainedBy,LifeStatus,RetiredDate,RetiredReason,Settlement,Municipality,RMWID,ContractNumber,SHAPESTArea,SHAPESTLength
812,Caroline St N/Bridgeport Rd W @ Albert St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1572,,3.86708524,9.08192241212832
813,Eagle St N @ Industrial Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET241,,16.784272375,20.8273873214939
814,Block Line Rd @ Strasburg Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET92,,17.65910427,19.2358889085498
815,King St N @ Columbia St W/Columbia St E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET743,,11.29988354,15.7492014171146
816,Courtland Ave E @ Overland Dr/Hwy 7/8E On/Off Ramp,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET191,,16.22638122,25.0563711261036
817,King St E @ Tu-Lane St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET665,,25.86779568,28.4508698424148
818,Fischer-Hallman Rd @ Highland Rd W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET551,,23.73396836,27.5077547431292
819,Bearinger Rd @ Parkside Dr @ Wes Graham Way,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET41,,19.42109881,24.4550267686244
820,Traynor Ave @ Wilson Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1467,,8.984150655,12.9931119594005
821,Fairway Rd N @ 655 Fairway Rd S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET302,,17.89055201,19.9437280335433
822,Fairway Rd N @ 655 Fairway Rd S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET301,,24.15560202,27.574928177991
823,Weber St E/King St E @ Hwy 8W On/Off Ramp,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1498,,3.79990791,7.802646011019
824,Fischer-Hallman Rd @ Greenbrook Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET336,,39.789547475,44.2754699329739
825,King St E @ Deer Ridge Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET654,,16.160324905,19.8980013084231
827,Ottawa St S @ Laurention Power Centre,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1423,,18.61920583,20.7761390980039
828,Water St N @ Dando Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1183,,21.71849607,19.2992473730154
829,Fairway Rd N @ 589 Fairway Rd S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET291,,17.752224335,19.906592435667
830,Victoria St N @ Fountain St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Breslau,Woolwich,DET1568,,1.07953572,4.1574016277685
832,Water St S @ Myers Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1201,,23.32456203,26.5612416476471
833,Erbsville Rd @ Laurelwood Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET282,,21.88087851,23.8033589656507
834,King St N @ Hickory St W/Hickory St E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET651,,17.597090785,21.82999792533
835,Fountain St N @ Cherry Blossom Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET387,,17.918358565,20.4272217848866
836,Hespeler Rd @ 480 Hespeler Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET521,,17.152843245,20.7903181813569
837,Weber St N @ Northfield Dr W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1245,,18.850121595,22.8796222961839
838,Columbia St W @ Hazel St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET136,,23.906949305,25.3507384511794
839,Westmount Rd N @ Bearinger Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1300,,36.74248926,33.4226055966251
840,Weber St E @ Franklin St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1256,,20.891305665,21.0311534572271
841,Victoria St N @ Ebycrest Rd/Woolwich St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Breslau,Woolwich,DET244,,25.42954514,30.2355652638934
842,Bearinger Rd/Fischer-Hallman Rd N @ Laurelwood Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET50,,19.80528785,22.8859597812042
843,Margaret Ave @ Queen St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET851,,32.077244045,25.2968326528194
844,Water St S @ Ainslie St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1198,,0.850558025,3.7180294566861
845,Beverly St @ Kerr St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET66,,7.60807772,11.9236892873238
846,Bleams Rd @ Century Hill Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET89,,19.39365683,20.6255868422308
847,Fischer-Hallman Rd @ Ottawa St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET958,,4.900339095,9.03870060751155
848,Franklin Blvd @ Elgin St N/Saginaw Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET440,,19.951339505,22.124863175893
849,Maple Grove Rd @ Cherry Blossom Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET809,,11.41943554,15.6437860882967
850,Hespeler Rd @ Hwy 401E off,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET543,,42.852025475,39.770358278886
851,Lackner Blvd @ Oldfield Dr/Zeller Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET755,,18.63343404,23.7368170510828
852,Columbia St W @ Phillip St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET124,,16.070517435,19.548693262723
854,Hespeler Rd @ Hwy 401E off,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET4051,,36.31301949,28.1378815165626
855,Weber St E @ Montgomery Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1206,,17.833634565,17.8342176858948
857,Weber St N @ Benjamin Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET1263,,27.80460805,28.5458237748064
858,Westmount Rd N @ Columbia St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1345,,28.63875998,30.7455703940496
859,King St E @ Lowther St N/Lowther St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET687,,25.445278145,23.5046413362575
860,Victoria St N @ Ebycrest Rd/Woolwich St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Breslau,Woolwich,DET246,,10.86615128,14.3643740011945
861,Westmount Rd W @ Queens Blvd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1286,,19.216290625,22.4011331327652
862,Fischer-Hallman Rd @ Victoria St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1128,,14.774983875,18.9396579550045
863,Westmount Rd E @ Greenbrook Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1339,,15.58496681,16.4606320800402
864,Weber St N @ Randall Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1218,,20.43177389,22.8216187170748
865,Erbsville Rd @ Laurelwood Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET280,,19.97742575,21.8834184551703
866,Battler Rd @ Huron Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET628,,17.07165651,20.5597762542489
867,Hespeler Rd @ Langs Dr/Sheldon Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET505,,23.44501851,25.7695777185955
868,Victoria St N @ Natchez Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1135,,14.29925244,17.955778687536
869,Guelph Ave @ Scott Rd/Baldwin Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET478,,22.276672435,24.5835590830367
870,Bleams Rd @ Thistledown Dr/Trillium Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET87,,25.26739166,25.5284825926719
871,King St N @ Conestogo Rd W/Conestogo Rd E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET723,,7.522718,11.0829165201705
872,Hespeler Rd @ Can-Amera Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1387,,3.781100415,8.29044929258723
873,Ottawa St S @ Strasburg Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET949,,17.70193558,23.68331276127
874,King St N @ Hickory St W/Hickory St E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET649,,24.486224665,23.3933199998437
875,Weber St E/King St E @ Hwy 8W On/Off Ramp,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1495,,3.53938593,7.53588167402978
877,University Ave W @ Ring Rd/Seagram Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1082,,14.33667579,18.9347648416316
878,Franklin Blvd @ Glamis Rd/Robson Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET419,,20.715470065,23.2246827450442
879,Columbia St W @ Hagey Blvd @ North Campus Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET144,,15.497413075,19.4009349224723
880,University Ave W @ Westvale Gate/Resurrection Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1102,,21.06536005,24.4762217280674
881,Victoria St S @ Belmont Ave W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1173,,17.014083835,21.5099862071108
883,Homer Watson Blvd @ Hanson Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET582,,21.188805015,23.4368007177663
884,Fountain St N @ ATS/Cowan Driveway,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1357,,23.54978639,25.6637707141823
885,Hespeler Rd @ Bishop St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET484,,25.173202335,25.5676260631157
886,Pinebush Rd @ Conestoga Blvd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1441,,40.099318335,29.4458999342612
887,King St N @ Home Depot,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1404,,20.26942269,22.5477610521799
888,Northfield Dr E @ Line 86,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET3248,,4.6017706,8.59028600523321
890,Northfield Dr E @ Line 86,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET897,,30.91866726,35.3222364512873
891,Westmount Rd W @ Gage Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1308,,17.38789588,20.2456912949941
893,Fischer-Hallman Rd @ Ottawa St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET956,,28.377234425,34.7969173144486
894,Victoria St N @ Forwell Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1140,,25.022023195,25.1629583494156
896,Fischer-Hallman Rd @ Victoria St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1131,,3.79275975,7.82095208019108
897,King St E @ Montgomery Rd/Dixon St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET750,,9.55752589,13.7920344557806
898,Margaret Ave @ Queen St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET849,,22.32605051,25.6904437059444
900,Hespeler Rd @ Dunbar Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET497,,16.365222975,20.4990160073016
901,King St N @ Hwy 85/Farmer's Market Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET736,,46.55588225,43.521757690356
902,Northfield Dr W @ Skylark Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET900,,19.253681465,20.9756036676343
903,Fountain St N @ Cherry Blossom Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET391,,16.463428705,19.988589446152
904,University Ave W @ Ring Rd/Seagram Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1078,,14.01878983,18.8744304791514
905,Pinebush Rd @ Conestoga Blvd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1444,,11.96246073,17.1191903000947
906,Victoria St S @ Strange St/West Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1143,,24.53698455,23.1315659677658
907,Fischer-Hallman Rd N @ Keats Way,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET357,,24.708867765,26.6104045167438
908,Pinebush Rd @ Power Centre/Home Depot,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1432,,15.8011495,20.5396087334609
909,Weber St E/King St E @ Hwy 8W On/Off Ramp,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1497,,3.700532615,7.69865640578067
910,King St N @ Hwy 85/Farmer's Market Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET726,,27.09385368,32.4635962677407
912,King St N @ Hwy 85/Martin Grove Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET1410,,36.138524755,36.5322875390009
913,Columbia St W @ 175-195 Columbia St W @ 170-180 Columbia St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET131,,18.74334461,22.9161985761064
914,Fischer-Hallman Rd @ New Dundee Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET862,,20.091779015,23.560934853731
915,Water St N @ Park Hill Rd W/Park Hill Rd E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1191,,16.72057843,19.8002501349762
916,Bruce St @ Main St @ Oak St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET795,,20.57287497,24.2075085126519
917,Victoria St S @ Strange St/West Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1141,,24.987636485,25.9470496080157
918,Erbsville Rd @ Laurelwood Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET281,,15.67170396,19.5806918769
919,Benjamin Rd @ Farmer's Market Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET1644,,47.58207965,31.949421170353
920,King St N @ Columbia St W/Columbia St E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET740,,19.430285625,22.0602352642809
921,Hespeler Rd @ 580 Hespeler Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET525,,15.67908762,19.6930634761165
922,Northfield Dr W @ Highpoint Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET926,,17.956675115,22.2967984598401
923,Ottawa St S @ Sunrise Shopping Centre,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1426,,47.44283026,31.8267848057017
924,Franklin Blvd @ Glamis Rd/Robson Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET417,,32.231372775,29.9966009515468
925,King St N @ Conestogo Rd W/Conestogo Rd E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET720,,37.90162397,32.8714151190807
926,Hespeler Rd @ Hwy 401E off,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET4052,,29.21561049,24.4272840738489
927,Westmount Rd W @ Chopin Dr/Brybeck Cres,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1313,,17.14200194,20.573953254142
928,King St E @ Deer Ridge Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET656,,14.905362055,18.0253728306979
929,University Ave W @ Hazel St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1095,,11.177748535,13.9156201233396
931,Westmount Rd W @ Highland Rd W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1561,,15.556997735,20.1885956002555
932,Fountain St N @ Maple Grove Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET375,,18.963006765,23.691595208238
933,Victoria St S @ Strange St/West Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1142,,22.81369532,22.9137178919664
934,Courtland Ave E @ Madison Ave S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET190,,7.50163923,11.4765018898145
935,Hespeler Rd @ Bishop St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET489,,22.4716975,25.4275607556934
936,Homer Watson Blvd @ Beasley Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET593,,22.095553265,24.554711623305
938,Fischer-Hallman Rd @ Ottawa St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET962,,9.11572307,12.3593846825589
939,Dumfries Rd @ Cedar Creek Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,North Dumfries,North Dumfries,DET214,,35.64970268,38.636877550328
940,Sportsworld Dr @ Gateway Park Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1458,,22.504638125,23.4210893164457
941,Westmount Rd N @ Northfield Dr W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET932,,16.822245375,21.2710760288166
942,King St N @ Columbia St W/Columbia St E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET739,,18.234144945,20.7491876215166
943,Maple Grove Rd @ Vondrau Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET825,,18.721680195,21.6119589237147
945,Fountain St N @ Toyota (North Entrance),,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1366,,3.191830725,7.16258281222463
946,Coronation Blvd @ Cambridge Memorial Hospital,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET171,,14.09635971,16.8745891693825
947,Courtland Ave E @ Overland Dr/Hwy 7/8E On/Off Ramp,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET193,,14.70968769,18.5871160451186
948,Maple Grove Rd @ Vondrau Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET821,,32.984613755,27.3276694369775
949,Glasgow St @ Park St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1015,,23.49303533,21.0408855756622
950,Fountain St N @ Toyota (North Entrance),,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1373,,4.601098985,8.70940954382503
951,Conestoga Blvd @ Dunbar Rd @ Lena Cres,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET160,,23.239508745,25.4348006067052
952,Westmount Rd W @ Highland Rd W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET577,,10.09268993,17.7305157327086
954,Westmount Rd W @ Queens Blvd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1284,,16.929284545,20.8143076559643
955,Kressler Rd @ Lobsinger Line,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Heidelberg,Wellesley,DET784,,8.43347841,12.3552291760172
956,Dundas St N @ Main St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET224,,17.16883036,20.6332405206043
957,Erb St W @ 658 Erb St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET255,,22.100190965,25.3674377054447
958,King St E @ Eagle St N/Eagle St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET679,,19.817282665,21.0884403679255
961,Westmount Rd N @ Columbia St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1344,,39.269353265,38.5814444713205
962,University Ave W @ Phillip St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1071,,29.325850395,29.5754411957116
965,Westmount Rd N @ Erb St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET261,,54.77629655,40.787997764252
966,Elm Ridge Dr @ Queens Blvd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1028,,11.050408215,14.5792473560507
968,Victoria St N @ Fountain St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Breslau,Woolwich,DET394,,12.102482645,16.0013124393406
969,Hespeler Rd @ 580 Hespeler Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET530,,18.17011225,20.6259728829223
970,Fischer-Hallman Rd @ New Dundee Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,North Dumfries,North Dumfries,DET867,,34.87213217,28.5489921535023
971,Fairway Rd N @ Pebblecreek Dr/Upper Mercer St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1550,,16.79505068,20.3591853626961
972,River Rd E @ Holborn Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1030,,8.06814967,13.3792819498825
974,Victoria St S @ Lawrence Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1147,,10.107218135,16.579417968031
975,Mill St @ Stirling Ave S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET848,,13.932954695,19.3206642832186
976,Highland Rd W @ Highland Hills Mall,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1377,,17.811813665,21.0874782504315
977,Erb St W @ 658 Erb St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET256,,21.337458375,24.4719100900835
978,Hespeler Rd @ 580 Hespeler Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET528,,14.56034561,17.3643439877539
979,Fairway Rd S @ Fairview Park Mall Entrance,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET311,,19.94708878,19.1073992939874
981,Maple Grove Rd @ Beaverdale Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET841,,7.979580385,11.8656936706194
982,Fischer-Hallman Rd @ Queens Blvd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1558,,24.02017311,25.3885125177047
984,Weber St N @ Farmer's Market Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET1272,,25.02846646,24.7507280908736
986,Lancaster St W @ Victoria St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET778,,19.649539985,18.4257099991034
987,Ainslie St S @ Concession St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET6,,15.68609406,19.4744557389658
988,Hespeler Rd @ Jaffray St/Avenue Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET541,,16.62976795,19.8537765663103
989,Fischer-Hallman Rd S @ Thorndale Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET363,,21.716778825,26.1170981526193
990,River Rd E @ Holborn Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1032,,13.02641857,18.4441540594418
991,Davenport Rd @ Lexington Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET206,,26.480835485,23.4231884649437
992,Ottawa St S @ Strasburg Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET953,,23.25543743,24.8908562694827
993,Victoria St N @ Fountain St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Breslau,Woolwich,DET1571,,0.96503316,3.99619701299684
994,King St N @ Hwy 85/Farmer's Market Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET728,,35.78628754,32.6163533068185
995,Main St @ Elgin St N/Elgin St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET790,,18.35487495,26.1955243877342
996,Park St @ Union Blvd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1014,,36.034404275,30.3254935172261
997,King St E @ Montrose St N/Montrose St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET691,,25.700725245,24.5616261837075
998,Weber St N @ Lincoln Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1233,,23.81188728,22.5709820685801
999,Columbia St W @ Phillip St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET125,,14.278353545,19.3223762155649
1000,Westmount Rd N @ Northfield Dr W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET933,,26.206548225,27.1041937634587
1001,Benjamin Rd @ Farmer's Market Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET1641,,43.25626416,32.2123477663266
1002,Block Line Rd @ Kingswood Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET100,,18.08291953,20.5783853467848
1003,Courtland Ave E @ Carwood Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET200,,27.406649525,28.3420242368953
1005,Westmount Rd E @ Ottawa St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1525,,19.340246645,23.6037396321506
