OBJECTID,IntersectionName,InstallDate,DetectionMethod,OwnedBy,MaintainedBy,LifeStatus,RetiredDate,RetiredReason,Settlement,Municipality,RMWID,ContractNumber,SHAPESTArea,SHAPESTLength
13536,King St W @ Grand River Hospital,2017/09/01 00:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12007,ION,2.00011383,6.00010183702507
13537,King St W @ Grand River Hospital,2017/09/01 00:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12008,ION,2.000008695,6.00002291008599
13538,King St W @ Grand River Hospital,2017/09/01 00:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12010,ION,2.00001547,6.00004941933859
13539,King St W @ Grand River Hospital,2017/09/01 00:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12011,ION,17.99982966,23.600060605082
13540,King St W @ Grand River Hospital,2017/09/01 00:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12009,ION,1.99901304,6.00010338517338
13541,King St W @ Pine St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12012,ION,18.000027305,23.6000133017306
13542,King St W @ Pine St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12015,ION,18.00005963,23.5999611176882
13543,King St W @ Pine St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12016,ION,1.98496038,5.98499201540913
13544,King St W @ Pine St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12017,ION,1.999930065,5.99991807014418
13545,King St W @ Pine St,2017/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12013,ION,18.000521625,23.6001449258679
13546,King St W @ Pine St,2017/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12014,ION,18.000027305,23.6000133017306
13547,King St W @ Pine St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12018,ION,1.999930065,5.99991807014418
13548,King St W @ Pine St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12019,ION,1.999930065,5.99991807014418
13549,King St W @ Mt Hope St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12020,ION,17.99995513,23.6000385737525
13550,King St W @ Mt Hope St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12021,ION,2.00011383,6.00010183702507
13551,King St W @ Mt Hope St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12022,ION,1.99993753,5.99993954116876
13552,King St W @ Mt Hope St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12023,ION,17.99989042,23.5999495235827
13553,King St W @ Mt Hope St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12024,ION,2.000036405,6.00004341001024
13554,King St W @ Mt Hope St,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET12025,ION,2.00012031,6.00015425755901
13911,King St S @ Union St W/Union St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12026,ION,18.00036761,23.6000685010033
13912,King St S @ Union St W/Union St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12027,ION,17.99955435,23.5999375873352
13913,King St S @ Union St W/Union St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12028,ION,1.999931205,5.99992961102151
13914,King St S @ Union St W/Union St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12029,ION,2.0000164,6.00006080401045
13915,King St S @ Union St W/Union St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12030,ION,2.000003605,5.99998241067951
13916,King St S @ Union St W/Union St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12031,ION,2.000003605,5.99998241067951
13917,King St S @ John St W/John St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12032,ION,18.000413525,23.6001817672389
13918,King St S @ John St W/John St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12033,ION,2.00002866,6.00001147432675
13919,King St S @ John St W/John St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12034,ION,2.0000917,6.00013754842337
13920,King St S @ John St W/John St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12035,ION,17.999499565,23.599885850261
13921,King St S @ John St W/John St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12036,ION,17.99908408,23.5998181032139
13922,King St S @ Allen St W/Allen St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12037,ION,2.00002662,6.00001787062236
13923,King St S @ Allen St W/Allen St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12038,ION,2.00007955,6.00011497892358
13924,King St S @ Allen St W/Allen St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12039,ION,17.99986688,23.5998856989288
13925,King St S @ Allen St W/Allen St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12040,ION,1.99985778,5.99982073672726
13926,King St S @ Allen St W/Allen St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12043,ION,17.99976399,23.5999307965104
13927,King St S @ Allen St W/Allen St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12044,ION,2.000029875,6.00000963164295
13928,King St S @ Allen St W/Allen St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12041,ION,17.45322838,23.6083926829025
13929,King St S @ Allen St W/Allen St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12042,ION,18.00000744,23.600041878154
13930,King St S @ William St W/William St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12045,ION,21.60917924,27.6102451406702
13931,King St S @ William St W/William St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12046,ION,17.99446949,23.5934415838107
13932,King St S @ William St W/William St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12047,ION,1.999961425,5.99998604375011
13933,King St S @ William St W/William St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12048,ION,17.99962483,23.5999013234407
13934,King St S @ William St W/William St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12049,ION,18.00000744,23.600041878154
13935,King St S @ William St W/William St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12050,ION,1.9999546,5.99993189961353
13936,King St S @ William St W/William St E,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12051,ION,18.00000482,23.5999342389117
13937,King St S @ Willis Way,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12053,ION,1.99997155,5.9999083627019
13938,King St S @ Willis Way,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12052,ION,18.000206715,23.6000280966934
13939,King St S @ Willis Way,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12054,ION,2.00006948,6.00010421909487
13940,King St S @ Willis Way,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12055,ION,18.00065759,23.6000469160495
