OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
56093,20994,Arterial,MAJOR,HIGHLAND RD W,BUTLER LANE,WESTMOUNT RD W,403,465,370,470,REGIONAL RD  6,5,REG,TwoWay,MCP 1004,4/22/2003 12:00:00 AM,50,20398,2015,24HR,298.897610690435
56094,20964,Arterial,MAJOR,HIGHLAND RD W,LAWRENCE AVE,BUTLER LANE,359,367,354,370,REGIONAL RD  6,4,REG,TwoWay,REG PLAN 882,4/22/2003 12:00:00 AM,50,21748,2015,24HR,115.480326139427
56095,20991,Arterial,MAJOR,WESTMOUNT RD W,OVERLEA DR,HIGHLAND RD W,,,,,REGIONAL RD 50,6,REG,TwoWay,MCP 1004,4/22/2003 12:00:00 AM,50,23253,2015,7-7 MON-FRI,120.110433617624
56099,21754,Arterial,MAJOR,FISCHER HALLMAN RD,OTTAWA ST S,ACTIVA AVE,660,710,685,715,REGIONAL RD 58,6,REG,TwoWay,REG PLAN 1322,8/13/2002 12:00:00 AM,50,24140,2015,24HR,434.869542809877
56221,1776,Arterial,MAJOR,KING ST W,AGNES ST,ANDREW ST,709,709,698,702,REGIONAL RD 15,2,REG,TwoWay,REG PLAN 377,4/22/2003 12:00:00 AM,50,22195,2015,24HR,66.3750293891749
56378,23166,Arterial,MAJOR,OTTAWA ST N,HERITAGE DR,OLDFIELD DR,,,,,REGIONAL RD  4,6,REG,TwoWay,REG PLAN 1589,4/22/2003 12:00:00 AM,50,12522,2015,24HR,76.4255118478276
56381,8689,Arterial,MAJOR,VICTORIA ST S,STRANGE ST,PATRICIA AVE,271,301,266,326,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 296,4/22/2003 12:00:00 AM,50,19596,2015,24HR,295.170319053355
56433,1717,Arterial,MAJOR,VICTORIA ST S,BELMONT AVE W,LAWRENCE AVE,437,497,442,498,REGIONAL RD 55,3,REG,TwoWay,REG PLAN 266,4/22/2003 12:00:00 AM,50,18185,2015,24HR,246.47102280846
56443,12566,Arterial,MAJOR,BRIDGE ST E,TAGGE ST,STANLEY AVE,137,137,132,196,REGIONAL RD 52,3,REG,TwoWay,,,50,8258,2015,24HR,483.271162340063
56460,12125,Arterial,MAJOR,FAIRWAY RD N,KING ST E,MORGAN AVE,,,25,25,REGIONAL RD 53,5,REG,TwoWay,REG PLAN 589,4/22/2003 12:00:00 AM,50,15980,2015,24HR,183.964049782153
